posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
29,2,MINIMA,estagiario,Jovem Aprendiz - João Pessoa - PB,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2816909/jovem-aprendiz-joao-pessoa-pb,nivel:estagiario
30,2,MINIMA,nao_informado,Auxiliar Administrativo,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2818190/auxiliar-administrativo,area:TI
31,2,MINIMA,estagiario,JovemAprendiz,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2802371/jovem-aprendiz,nivel:estagiario
32,2,MINIMA,estagiario,JovemAprendiz,Nao informado,Nao informado,Vagas.com,https://www.vagas.com.br/vagas/v2814374/jovem-aprendiz,nivel:estagiario
33,2,MINIMA,nao_informado,IT Apprentice,Catalyte,"South Chicago, Ilinóis, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-apprentice-at-catalyte-4414005782?position=1&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=TOfGaQa%2F89hXa7%2F82IFLkw%3D%3D,area:TI
34,2,MINIMA,estagiario,Cybersecurity Training Center Trainee,Cybertection LLC,"Stevensville, Maryland, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/cybersecurity-training-center-trainee-at-cybertection-llc-4400946383?position=2&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=GBrlqGUmFVjucv1tuZDCJw%3D%3D,nivel:estagiario
35,2,MINIMA,nao_informado,"Information Technology Apprenticeship, Cyber Security",Kennesaw State University,"Kennesaw, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/information-technology-apprenticeship-cyber-security-at-kennesaw-state-university-4413649730?position=3&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=AdssFvTNFfeWJX2IfSi1Fg%3D%3D,area:TI
36,2,MINIMA,nao_informado,System Support Technician Apprentice,IBM,"Rochester, Minesota, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/system-support-technician-apprentice-at-ibm-4413313844?position=4&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=YDfD%2BUxI0V2shheKou8FsQ%3D%3D,area:TI
37,2,MINIMA,junior,Jr. IT/ Cyber Security Analyst (Apprentice),"Tech-Marine Business, Inc. (TMB)","Washington, Distrito de Colúmbia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/jr-it-cyber-security-analyst-apprentice-at-tech-marine-business-inc-tmb-4391575454?position=5&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=t%2BebIxgUNRnweWtKLBPQ6w%3D%3D,area:TI
38,2,MINIMA,nao_informado,"Information Technology Apprenticeship, Cyber Security",Inside Higher Ed,"Kennesaw, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/information-technology-apprenticeship-cyber-security-at-inside-higher-ed-4418476483?position=6&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=XBQxz5Gz%2B8w%2FEyZjP3cmSw%3D%3D,area:TI
